visit_id,visit_duration,Variation
100012776_37918976071_457913,0 days 00:00:52,Test
100019538_17884295066_43909,0 days 00:04:02,Test
100022086_87870757897_149620,0 days 00:03:00,Test
100030127_47967100085_936361,0 days 00:00:00,Control
100037962_47432393712_705583,0 days 00:02:12,Control
100057941_88477660212_944512,0 days 00:04:14,Control
10006594_66157970412_679648,0 days 00:05:54,Control
100071743_53464757454_616703,0 days 00:00:00,Control
10007589_47780784567_391490,0 days 00:12:01,Control
100096068_8301717872_987164,0 days 00:00:13,Control
100105975_18174738494_196339,0 days 00:00:13,Control
100173292_91322748906_143563,0 days 00:01:35,Test
100195539_90558871716_822894,0 days 00:06:03,Control
100217156_67053490690_383412,0 days 00:16:57,Test
100221419_95702886123_228743,0 days 00:00:00,Test
10024125_38177552152_999695,0 days 00:00:21,Control
100253265_79786188559_15799,0 days 00:02:14,Test
100254180_47139859079_984581,0 days 00:05:41,Control
100258507_71262593004_214494,0 days 00:16:53,Test
100293270_70949014562_696814,0 days 00:03:29,Test
10029965_1592382589_593999,0 days 00:01:07,Test
100309269_21684743336_936307,0 days 00:04:00,Control
100321067_78502191718_46799,0 days 00:02:14,Test
100393582_40120493420_784218,0 days 00:01:22,Test
100398738_80691628792_341470,0 days 00:00:00,Control
100412222_23957663994_946900,0 days 00:07:46,Test
10043239_12589390657_342180,0 days 00:00:00,Control
10045388_98429038488_557266,0 days 00:03:34,Control
100471971_3065983298_584030,0 days 00:02:35,Control
100475449_39139591577_836652,0 days 00:00:00,Test
100481857_71511233596_788753,0 days 00:12:56,Control
100524954_75571477869_827571,0 days 00:03:12,Test
100535920_68686957750_105554,0 days 00:00:34,Control
100559681_42553631610_873319,0 days 00:03:23,Test
10056419_61656665964_803695,0 days 00:07:37,Test
100583476_33244068453_144866,0 days 00:02:48,Control
100608591_65788886975_921579,0 days 00:01:44,Control
100618014_41463020246_787063,0 days 00:08:51,Test
100626049_75683476209_342098,0 days 00:11:58,Test
100639462_26969211619_298031,0 days 00:01:05,Test
100647528_93869859601_746654,0 days 00:00:00,Control
10065836_96534697180_389104,0 days 00:11:44,Test
100665997_91063490926_34691,0 days 00:01:28,Control
100696989_79957693336_140112,0 days 00:00:04,Control
100725513_11346861413_977724,0 days 00:00:08,Test
100733473_61604582110_215085,0 days 00:05:35,Control
100738555_11362326861_913293,0 days 00:05:09,Test
100742196_25888718318_18393,0 days 00:02:24,Control
100751264_35071231525_844320,0 days 00:06:12,Test
100758381_89232150997_752407,0 days 00:05:46,Test
100762504_13289430422_745035,0 days 00:00:00,Test
100762805_65408139715_281504,0 days 00:01:27,Test
100768839_4432812320_405870,0 days 00:07:27,Control
100786061_71646122803_371815,0 days 00:00:39,Test
100810638_79925673386_145828,0 days 00:00:12,Control
100823576_70799027657_592457,0 days 00:00:55,Test
100844233_60058998075_722846,0 days 00:14:15,Test
100847537_74227021314_737120,0 days 00:00:22,Control
100882938_11703227433_775210,0 days 00:00:00,Test
100888777_10698693955_921935,0 days 00:00:00,Control
100911179_58982643631_833777,0 days 00:04:55,Control
100917321_50724715049_405133,0 days 00:00:00,Control
100940549_99510656_854293,0 days 00:02:38,Test
100982387_94833499276_254813,0 days 00:03:00,Control
100990512_10313858825_28429,0 days 00:19:43,Control
100995466_7789612733_596938,0 days 00:00:00,Test
